Location_Id,City,State,Zipcode,Country
1,CLA,MD,20871,US
2,WAS,DC,20001,US
3,MAN,NY,11030,US
4,CON,CON,0,US
5,CP,MD,20742,US
6,SER,RJ,0,BR
7,LA,CA,90031,US
8,PAL,IL,60067,US
9,WIS,VA,24293,US
10,ELL,WA,98926,US
11,CON,CON,0,US
12,CON,CON,0,US
13,PIT,PA,15222,US
14,CON,CON,0,US
15,RDG,TN,38066,IT
16,NY,NY,10007,US
17,IST,IST,34750,TR
18,QUE,NY,11413,US
19,GRA,IL,60030,US
20,SS,MD,20910,US
21,WAS,DC,20008,US
22,WIL,CA,95688,US
23,CON,CON,0,US
24,JOH,PA,15904,US
25,JOI,IL,60431,US
26,MIA,FL,33125,US
27,RED,CA,96001,US
28,FC,CA,95231,US
29,FC,CA,95231,US
30,BRO,NY,11214,US
31,LEE,VA,20175,US
32,CON,CON,0,AE
33,WAR,MI,48909,US
34,HK,NT,850,HK
35,FIS,VA,22939,US
36,MIA,FL,33137,US
37,RAD,VA,24142,US
38,CHA,HUN,410000,CN
39,CHA,HUN,410000,CN
40,CON,CON,0,US
41,GAI,FL,32611,US
42,ARL,VA,22201,US
43,SF,CA,94404,US
44,FAR,HAR,121002,IN
45,CON,CON,0,US
46,SHE,MA,1770,US
47,BLO,IN,47408,US
48,NAS,TN,37201,US
49,LUB,TX,79401,US
50,BLA,VA,24061,US
51,RIC,VA,23227,US
52,BOW,MD,20715,US
53,CON,CON,0,CN
54,NB,WA,98045,US
55,SYL,CA,91342,US
56,BOS,MA,2118,US
57,CON,CON,0,US
58,CON,CON,0,US
59,HAY,CA,94545,US
60,CHA,VA,22904,US
61,MIN,MN,55418,US
62,WAT,MA,2472,US
63,TOW,MD,21252,US
64,SHE,GUA,518000,CN
65,SYR,NY,13210,US
66,LEW,NY,14092,US
67,NN,VA,23606,US
68,CHA,NC,28208,US
69,NY,NY,10003,US
70,LB,CA,90801,US
71,DOV,DE,19902,US
72,CON,CON,0,US
73,FAI,VA,22035,US
74,CON,CON,0,US
75,STE,VA,20175,US
76,MAL,MT,59402,US
77,BOS,MA,2110,US
78,SWE,FL,33174,US
79,WIL,VA,23185,US
80,LJ,CA,92037,US
81,CC,MD,20815,US
82,TOW,MD,21252,US
83,CON,CON,0,US
84,CON,CON,0,US
85,CON,CON,0,AE
86,TRI,TS,34121,IT
87,WAR,OR,97146,US
88,FAI,VA,22030,US
89,LAU,MD,20723,US
90,CON,CON,0,US
91,CHR,FL,32709,US
92,PHI,PA,19118,US
93,PAL,IL,60067,US
94,ARL,VA,22203,US
95,NEW,MA,1950,US
96,BAN,KAR,562158,IN
97,IST,IST,34433,TR
98,IST,IST,34846,TR
99,IST,IST,34846,TR
100,HAR,PA,17102,US
101,RAK,AE,0,AE
102,HAR,VA,22807,US
103,CON,CON,0,CN
104,CON,CON,0,US
105,ATL,GA,30310,US
106,HAY,CA,94545,US
107,WIN,MB,0,CA
108,CAL,AB,0,CA
109,HON,HI,96814,US
110,CAM,MA,2142,US
111,SEA,WA,98158,US
112,CON,CON,0,IT
113,LA,CA,90024,US
114,SEA,WA,98101,US
115,SAC,CA,95817,US
116,BRA,ON,0,CA
117,CHA,VA,22903,US
118,CHI,CA,95929,US
119,HER,VA,20171,US
120,WAS,DC,20003,US
121,PYE,KYO,17979,KR
122,PH,CA,94523,US
123,CON,CON,0,IT
124,WIN,MB,0,CA
125,ANT,NS,0,CA
126,MON,QC,0,CA
127,IST,IST,34320,TR
128,CAM,MA,2141,US
129,LB,CA,90807,US
130,PIT,PA,15219,US
131,AVO,CO,81620,US
132,SDB,QC,0,CA
133,LYN,WA,98036,US
134,NY,NY,10019,US
135,SP,CA,94806,US
136,LAT,PA,15650,US
137,NH,CT,6511,US
138,DEN,CO,80249,US
139,SLO,CA,93407,US
140,CON,CON,0,ES
141,AUB,AL,36830,US
142,LEX,KY,40507,US
143,LEX,KY,40507,US
144,SF,CA,94124,US
